location_slug,location_name,region,search_query_1,search_query_2,unsplash_url,pexels_url
alcaidesa,"Alcaidesa","Sotogrande","Alcaidesa Sotogrande Spain residential street Mediterranean architecture","Alcaidesa Costa del Sol hillside golf community with sea views scenic view","https://unsplash.com/s/photos/Alcaidesa%20spain","https://www.pexels.com/search/Alcaidesa%20costa%20del%20sol/"
alhaurin-el-grande,"Alhaurín el Grande","Inland Málaga","Alhaurín el Grande Inland Málaga Spain residential street Mediterranean architecture","Alhaurín el Grande Costa del Sol traditional white village in mountain foothills scenic view","https://unsplash.com/s/photos/Alhaur%C3%ADn%20el%20Grande%20spain","https://www.pexels.com/search/Alhaur%C3%ADn%20el%20Grande%20costa%20del%20sol/"
alozaina,"Alozaina","Sierra de las Nieves","Alozaina Sierra de las Nieves Spain residential street Mediterranean architecture","Alozaina Costa del Sol rustic mountain village with olive groves scenic view","https://unsplash.com/s/photos/Alozaina%20spain","https://www.pexels.com/search/Alozaina%20costa%20del%20sol/"
arroyo-de-la-miel,"Arroyo de la Miel","Benalmádena","Arroyo de la Miel Benalmádena Spain residential street Mediterranean architecture","Arroyo de la Miel Costa del Sol bustling commercial center near coast scenic view","https://unsplash.com/s/photos/Arroyo%20de%20la%20Miel%20spain","https://www.pexels.com/search/Arroyo%20de%20la%20Miel%20costa%20del%20sol/"
benalmadena-area,"Benalmádena","Costa del Sol","Benalmádena Costa del Sol Spain residential street Mediterranean architecture","Benalmádena Costa del Sol coastal resort town with marina and cable car scenic view","https://unsplash.com/s/photos/Benalm%C3%A1dena%20spain","https://www.pexels.com/search/Benalm%C3%A1dena%20costa%20del%20sol/"
benalmadena-costa,"Benalmádena Costa","Benalmádena","Benalmádena Costa Benalmádena Spain residential street Mediterranean architecture","Benalmádena Costa Costa del Sol beachfront promenade with modern apartments scenic view","https://unsplash.com/s/photos/Benalm%C3%A1dena%20Costa%20spain","https://www.pexels.com/search/Benalm%C3%A1dena%20Costa%20costa%20del%20sol/"
benalmadena-pueblo,"Benalmádena Pueblo","Benalmádena","Benalmádena Pueblo Benalmádena Spain residential street Mediterranean architecture","Benalmádena Pueblo Costa del Sol charming whitewashed hilltop village scenic view","https://unsplash.com/s/photos/Benalm%C3%A1dena%20Pueblo%20spain","https://www.pexels.com/search/Benalm%C3%A1dena%20Pueblo%20costa%20del%20sol/"
calahonda,"Calahonda","Mijas Costa","Calahonda Mijas Costa Spain residential street Mediterranean architecture","Calahonda Costa del Sol hillside residential area near beach scenic view","https://unsplash.com/s/photos/Calahonda%20spain","https://www.pexels.com/search/Calahonda%20costa%20del%20sol/"
cancelada,"Cancelada","Estepona","Cancelada Estepona Spain residential street Mediterranean architecture","Cancelada Costa del Sol quiet residential village with local shops scenic view","https://unsplash.com/s/photos/Cancelada%20spain","https://www.pexels.com/search/Cancelada%20costa%20del%20sol/"
casares-costa,"Casares Costa","Casares","Casares Costa Casares Spain residential street Mediterranean architecture","Casares Costa Costa del Sol coastal urbanization with golf courses scenic view","https://unsplash.com/s/photos/Casares%20Costa%20spain","https://www.pexels.com/search/Casares%20Costa%20costa%20del%20sol/"
